    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    8000         27440    16.4738   1.000E+00   0.0561   0.0124   1.164E-17   1.95353574E+00   2.07209944E+00
    8050         27490    16.3094   1.000E+00   0.0562   0.0116   1.142E-17   1.95394963E+00   2.07323213E+00
    8100         27540    20.8875   1.000E+00   0.0546   0.0115   1.088E-17   1.95433174E+00   2.07464456E+00
    8150         27590    15.6588   1.000E+00   0.0520   0.0119   9.039E-18   1.95468374E+00   2.07590242E+00
    8200         27640    13.6406   1.000E+00   0.0506   0.0125   1.209E-17   1.95501102E+00   2.07668541E+00
    8250         27690    13.2558   1.000E+00   0.0508   0.0123   1.293E-17   1.95532180E+00   2.07680682E+00
    8300         27740    12.9564   1.000E+00   0.0500   0.0130   1.177E-17   1.95562569E+00   2.07635653E+00
    8350         27790    14.0723   1.000E+00   0.0493   0.0139   1.025E-17   1.95593226E+00   2.07568292E+00
    8400         27840    14.0031   1.000E+00   0.0487   0.0144   1.133E-17   1.95624979E+00   2.07522480E+00
    8450         27890    14.1434   1.000E+00   0.0468   0.0134   1.119E-17   1.95658432E+00   2.07533839E+00
    8500         27940    18.2497   1.000E+00   0.0476   0.0144   9.482E-18   1.95693964E+00   2.07614440E+00
    8550         27990    15.6639   1.000E+00   0.0503   0.0134   1.122E-17   1.95731757E+00   2.07753837E+00
    8600         28040    14.8687   1.000E+00   0.0518   0.0129   1.094E-17   1.95771882E+00   2.07941567E+00
    8650         28090    13.6082   1.000E+00   0.0539   0.0125   1.008E-17   1.95814386E+00   2.08166121E+00
    8700         28140    14.5560   1.000E+00   0.0543   0.0119   1.035E-17   1.95859284E+00   2.08417482E+00
    8750         28190    13.8233   1.000E+00   0.0546   0.0125   1.033E-17   1.95906556E+00   2.08704285E+00
    8800         28240    14.4330   1.000E+00   0.0549   0.0124   1.131E-17   1.95956116E+00   2.09026585E+00
    8850         28290    14.5228   1.000E+00   0.0549   0.0130   1.013E-17   1.96007833E+00   2.09397286E+00
