ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1729	827.925	26.9	19.965	5.3	228.8446912	316.7001039	317.5620363	-0.097187308
1730	827.85	26.88	19.94	5.3	228.0946912	316.6871993	317.5471643	
1731	827.77	26.92	19.92	5.4	226.6946912	316.7381743	317.599368	0.166566115
1732	827.6433333	26.89333333	19.92666667	5.333333333	226.7921846	316.7238883	317.5842223	-0.105041325
1735	827.38	26.88	19.91	5.4	226.1946912	316.7386393	317.5979553	0.325396397
1737	827.198	26.856	19.908	5.36	227.4453754	316.7332306	317.591523	-0.220964227
1738	827.11	26.8	19.9	5.5	232.5528732	316.6837439	317.5390482	-0.082534511
1739	826.98	26.8	19.89	5.6	234.3946912	316.6979808	317.553033	0.046539075
1741	826.795	26.78	19.88	5.7	236.6446912	316.6971278	317.5510182	-0.005577237
1742	826.73	26.8	19.88	5.7	237.1946912	316.7253676	317.5803314	
1745	826.41	26.8	19.87	5.6	237.0946912	316.7604382	317.6154094	0.343928002
1746	826.33	26.735	19.855	5.55	232.6145207	316.7005636	317.5518042	-0.783067595
1747	826.28	26.71	19.85	5.3	229.4946912	316.6796423	317.5295111	-0.010945653
1748	826.19	26.76	19.89	5.6	232.8946912	316.7423144	317.5964763	0.02276628
1750	825.92	26.72	19.855	5.15	229.0985747	316.729676	317.580739	-0.004081441
1752	825.75	26.69	19.85	5.1	228.9446912	316.716635	317.5662446	-0.341165627
1753	825.675	26.67	19.845	5.15	228.642264	316.7037365	317.5522551	-0.168728714
1754	825.56	26.67	19.84	5.3	228.2946912	316.7163532	317.5648142	0.018338071
1757	825.33	26.67	19.82	5.4	227.9946912	316.7415934	317.5895113	0.247631542
1758	825.2366667	26.60333333	19.81	5.333333333	227.3284412	316.6814069	317.5257713	-0.442965446
1760	825.035	26.59	19.79	5.3	227.1446912	316.6894563	317.5325921	0.47396442
1762	824.85	26.61	19.79	5.2	226.2946912	316.7309011	317.5752603	0.27113062
1763	824.7	26.59	19.79	5.2	225.5946912	316.7262425	317.5698309	
1765	824.58	26.53	19.78	5.05	224.4471664	316.6760214	317.5164318	-0.146058788
1766	824.42	26.51	19.78	4.9	224.2946912	316.6724622	317.5121186	-0.005176034
1767	824.38	26.55	19.78	4.9	223.8946912	316.7191281	317.5607785	
1768	824.27	26.53	19.775	5.1	224.7946912	316.7100791	317.5506946	-0.007401741
1770	824.07	26.51	19.77	5.1	225.1446912	316.7109226	317.5506256	
1772	823.91	26.53	19.76	5.05	225.3956813	316.7496509	317.5901138	1.013705682
1773	823.78	26.43	19.75	5	225.3946912	316.6582452	317.4936229	-1.19666387
1775	823.63	26.49	19.75	5.05	225.6956813	316.7381614	317.5766387	2.092071567
1777	823.4533333	26.47	19.73	5.266666667	225.6276026	316.7364524	317.5733516	-0.002382674
1779	823.22	26.47	19.725	5.4	225.0946912	316.7621256	317.5991261	0.094517919
1780	823.11	26.47	19.72	5.3	224.9946912	316.7742319	317.611168	0.039618039
1781	823.05	26.43	19.715	5.25	223.996596	316.7385453	317.5734199	-0.467202134
1783	822.8633333	26.41666667	19.71333333	5.333333333	222.9846945	316.7449954	317.5794071	0.060802086
1784	822.78	26.39	19.7	5.4	221.5946912	316.7259735	317.5586495	-0.140098143
1785	822.69	26.43	19.71	5.5	222.3946912	316.778179	317.6133245	0.170865815
1786	822.55	26.385	19.7	5.5	223.5946912	316.7460125	317.5787557	
1787	822.46	26.39	19.7	5.6	224.2946912	316.7612126	317.5943166	0.049755641
1788	822.37	26.39	19.7	5.7	224.3946912	316.7711268	317.6043513	0.032452867
1790	822.24	26.39	19.69	5.8	223.7946912	316.7854497	317.6184252	0.093768855
1791	822.13	26.36333333	19.69333333	5.666666667	223.8599852	316.769368	317.6013497	-0.029613464
1792	822.05	26.35	19.69	5.6	223.6946912	316.7640827	317.5953902	-0.038931965
1793	821.92	26.35	19.69	5.6	223.4946912	316.7784109	317.6098921	
1794	821.81	26.31	19.685	5.65	223.8964611	316.7482278	317.5777262	-0.395309083
1796	821.69	26.29	19.68	5.6	224.1446912	316.7403014	317.5687914	-0.207638471
1797	821.55	26.31	19.68	5.7	224.3946912	316.776894	317.6065285	0.119813624
1798	821.51	26.31	19.68	5.6	224.5946912	316.7813052	317.6109931	0.014443479
1799	821.42	26.31	19.67	5.7	224.7946912	316.7912315	317.6206178	0.032501135
1800	821.28	26.31	19.67	5.7	225.1946912	316.8066751	317.6362482	
1801	821.21	26.2475	19.6625	5.65	225.5716826	316.7482763	317.5746372	-0.765011227
1803	820.98	26.23	19.66	5.7	226.7946912	316.7551371	317.5808633	0.179760719
1805	820.84	26.205	19.665	5.8	227.1446912	316.7441351	317.5690648	-0.072071757
1806	820.74	26.19	19.65	5.9	230.1946912	316.7393001	317.5630188	-0.015837397
1807	820.63	26.205	19.66	5.9	229.9946912	316.7673145	317.5923132	
1809	820.42	26.19	19.65	5.75	231.9920825	316.7746283	317.5987713	0.021294931
1810	820.31	26.18	19.65	5.7	233.2946912	316.7761936	317.6000063	0.020509734
1811	820.25	26.145	19.645	5.8	231.9446912	316.7457798	317.5677977	-0.09963743
1814	819.98	26.14666667	19.64	5.566666667	230.6940924	316.7773692	317.5996145	0.057024144
1816	819.78	26.11	19.63	5.6	229.7946912	316.7606595	317.58101	-0.985474986
1817	819.6766667	26.09	19.63	5.533333333	229.4645691	316.7509094	317.5704482	-0.071881989
1818	819.58	26.07	19.62	5.6	230.1946912	316.7404227	317.5587245	-0.077318508
1820	819.39	26.06	19.62	5.6	230.4946912	316.7508402	317.5689194	
1822	819.2	26.07	19.62	5.5	231.6946912	316.7824364	317.6012396	0.207074246
1823	819.165	26.05	19.615	5.55	230.8919885	316.7651332	317.5828275	-0.226817664
1824	819.07	26.02	19.62	5.6	230.8946912	316.7438782	317.5604879	-0.278647055
1826	818.8533333	25.99333333	19.60333333	5.6	230.0946973	316.7396099	317.5545528	-3.54695E+26
1829	818.5833333	26.04	19.60333333	5.466666667	227.3020088	316.8189022	317.6364042	0.438509728
1831	818.39	26.03	19.61	5.2	224.6946912	316.829716	317.647278	0.009967519
1832	818.295	26	19.585	5.5	226.8065139	316.8084643	317.6236931	-0.00773951
1833	818.19	25.99	19.59	5.4	227.1946912	316.809501	317.6246045	0.003398241
1835	818.0133333	25.92333333	19.56666667	6.166666667	225.5671306	316.7584592	317.5696883	-0.005693994
1837	817.825	25.92	19.555	5.8	223.05245	316.7757889	317.5866244	0.008451972
1839	817.64	25.87	19.545	5.65	221.2982311	316.7433223	317.5516424	-0.094631378
1840	817.525	25.87	19.535	5.5	220.4446912	316.7560649	317.5641215	0.0185706
1841	817.49	25.83	19.53	5.4	220.3946912	316.7175704	317.5235969	-0.126243203
1843	817.29	25.85	19.53	5.5	220.4946912	316.7609229	317.5681441	0.284331
1844	817.195	25.85	19.52	5.6	220.3946912	316.771454	317.5783858	0.034534674
1845	817.08	25.83	19.51	5.7	220.0946912	316.7630147	317.5687493	-0.027676834
1846	816.95	25.75	19.5	5.7	219.8946912	316.6926678	317.4944351	
1847	816.94	25.81	19.505	5.75	219.9955607	316.7573484	317.5621262	0.848538885
1848	816.805	25.785	19.49	5.8	220.7446912	316.7458304	317.549001	-0.151116425
1850	816.62	25.79	19.48	5.8	221.3946912	316.77165	317.5748812	
1851	816.565	25.77	19.47	5.8	222.0946912	316.7565586	317.5585193	
